"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"RUS",161861440.46534443,1589993.161949787,296745974.1864648,2005
"RWA",124680.8788330305,821.9229421135778,228581.61119388923,2005
"SDN",10866.86638650954,100.187873638496,19922.588375267493,2005
"SEN",9285.546112346168,71.58203072294755,17023.50120596798,2005
"SGP",12097.40482969897,82.29476475484246,22178.575521114784,2005
"SLB",1824575.6648591533,6549.425910575095,3345055.3855751147,2005
"SLE",1047870.016813336,6872.4048384730895,1921095.0308244491,2005
"SLV",933274.062447164,5880.546431202976,1711002.4478198008,2005
"SMR",12.933741797850828,0.16724759598740369,23.711859962726518,2005
"SOM",18906.773903104342,271.9112388668853,34662.41882235796,2005
"SRB",276255.39348075213,1550.5737278354404,506468.22138137877,2005
"SSD",953021.2849430288,10566.197730147469,1747205.689062219,2005
"SUR",1004866.049261336,3512.1445027797986,1842254.4236457823,2005
"SVK",4977418.074275687,27674.414933272546,9125266.469505426,2005
"SVN",375705.8933619843,1950.9542617244579,688794.1378303044,2005
"SWE",22075028.063917637,248560.16867117578,40470884.78384901,2005
"SWZ",1120084.3320825254,4535.096300842922,2053487.9421512964,2005
"SXM",357.3396977916778,3.588811762028876,655.1227792847427,2005
"SYC",18.297106810656512,0.1518440893570877,33.54469581953694,2005
"SYR",91213.67070593947,791.8076299422562,167225.06296088887,2005
"TCA",1213.1345218694082,22.25030443209706,2224.0799567605827,2005
"TCD",53986.615059933756,472.3727029263107,98975.46094321189,2005
"TGO",256381.11826551944,2047.965587567437,470032.0501534522,2005
"THA",18468277.971474916,84287.06004261007,33858509.614370674,2005
"TJK",2995.0290809934504,28.53926538835104,5490.886648487992,2005
"TKM",3298.7626298773075,30.532779796598373,6047.731488108398,2005
"TLS",307548.89922126976,1311.3081182376338,563839.6485723279,2005
"TTO",233973.3948305101,1228.8639556546582,428951.2238559353,2005
"TUN",75342.63645515242,632.9729462783862,138128.16683444608,2005
"TUR",2155420.4864869528,20410.602625434127,3951604.2252260796,2005
"TWN",344227.7764315063,1522.315020263744,631084.2567910949,2005
"TZA",12196268.718712637,91583.41418902199,22359825.984306503,2005
"UGA",5327392.710496775,29172.076933966186,9766886.635910753,2005
"UKR",5158956.755894194,36558.45416411521,9458087.385806024,2005
"UMI",,84.49769212775365,,2005
"URY",1597626.967138152,15919.046615039972,2928982.7730866135,2005
"USA",351023615.88274163,2691544.210956299,643543295.7850263,2005
"UZB",2293.953288876247,21.185750156766787,4205.581029606453,2005
"VCT",3725.926699892943,16.635063631291956,6830.865616470395,2005
"VEN",15237475.27689796,94967.00676625514,27935371.34097959,2005
"VGB",621.5996245973818,3.7274220785837935,1139.5993117618664,2005
"VIR",2896.256035893642,20.304609634196613,5309.802732471677,2005
"VNM",21161134.894746672,102211.1187817025,38795413.97370223,2005
"VUT",50398.19237921519,254.48326712356794,92396.68602856119,2005
"XAD",16.062726373566797,0.19043937476995446,29.44833168487246,2005
"XCA",577.4665604610257,6.9890127901604515,1058.6886941785472,2005
"XKO",54989.00856398172,313.83170348937455,100813.18236729981,2005
"XNC",323.9808058449647,3.6542440143622192,593.9648107157686,2005
"ZAF",23289316.402195692,104652.34636227363,42697080.07069209,2005
"ZMB",8402722.878849756,57518.16135385962,15404991.944557885,2005
"ZWE",1653544.4512261937,11748.835153018948,3031498.1605813554,2005
"ABW",25.32970416592664,0.22548696056425532,46.4377909708655,2006
"AFG",19149.151051396715,152.0845359209759,35106.77692756065,2006
"AGO",9197654.455027739,76940.42602869697,16862366.500884186,2006
"AIA",96.07910552964623,1.31715659843634,176.14502680435143,2006
"ALA",8967.683069942237,100.14456159280604,16440.752294894093,2006
"ALB",162981.97402525364,962.7062924139871,298800.28571296507,2006
"AND",1093.741120741291,6.624548271169509,2005.192054692367,2006
"ARG",25898604.92836132,316447.2283856827,47480775.701995745,2006
"ARM",17808.916433906816,129.74906665075486,32649.680128829154,2006
"ATG",7558.014964467799,61.15211599685599,13856.360768190963,2006
"AUS",19021318.59011302,186303.87359866573,34872417.41520724,2006
"AUT",2567020.4757784484,12583.533393478041,4706204.205593822,2006
"AZE",61150.79721866234,525.2014626943931,112109.79490088094,2006
"BDI",45216.99210402624,343.5676257261326,82897.81885738144,2006
"BEL",1483664.6913690306,6916.08424877007,2720051.9341765563,2006
"BEN",188249.91215624698,1794.80449798094,345124.83895311947,2006
"BES",1299.637919799423,6.900502288660528,2382.6695196322753,2006
"BFA",512.6578154067031,4.75707136457761,939.8726615789557,2006
"BGD",1463587.268521456,6862.821262972943,2683243.3256226694,2006
"BGR",707261.6816824819,5171.123840834243,1296646.4164178835,2006
"BHS",72648.26217189894,1015.7739443602956,133188.4806484814,2006
"BIH",95353.33115637931,535.9688347970034,174814.44045336204,2006
"BLR",5331091.612583935,42269.35271373392,9773667.956403881,2006
"BLZ",761926.9436509048,4269.73522438235,1396866.0633599919,2006
"BMU",10.578921046347055,0.06530198176757442,19.3946885849696,2006
"BOL",39862927.18724025,216314.82152920356,73082033.17660713,2006
"BRA",564411311.3958931,2876804.7469672207,1034754070.8924706,2006
"BRB",491.686284820991,4.122334598451393,901.4248555051502,2006
"BRN",283935.59950621985,1013.5144252337648,520548.5990947364,2006
"BTN",171978.0193812004,622.8728830841219,315293.0355322007,2006
"BWA",2533.646055172793,40.107844036421646,4645.017767816787,2006
"CAF",9304061.359310905,57883.220928144714,17057445.825403325,2006
"CAN",198971156.79974338,2406190.7363021155,364780454.1328629,2006
"CHE",433840.18701350363,2048.850495925515,795373.6761914233,2006
"CHL",12107140.184238873,91923.23939026735,22196423.671104595,2006
"CHN",99319085.79589963,575232.8870382097,182084990.62581602,2006
"CIV",15097237.491604416,97780.65199480725,27678268.7346081,2006
"CMR",7601078.498788793,35986.04110763812,13935310.581112783,2006
"COD",104129240.32519135,453170.6128119737,190903607.2628508,2006
"COG",4989047.494539826,22153.93810149488,9146587.073323015,2006
"COL",39526737.69374596,189963.60168666218,72465685.7718676,2006
"COM",3116.971134494242,12.963659929736135,5714.447079906111,2006
"CPV",,6.024247133513698,,2006
"CRI",1990655.969382216,10059.474962600743,3649535.9438673956,2006
"CUB",1642648.907960127,12305.087822119167,3011522.997926899,2006
"CUW",282.4236411821711,3.4606813635338955,517.776675500647,2006
"CYM",1622.529168911145,17.959420127743844,2974.6368096704323,2006
"CYP",5747.963921793589,58.603225739938196,10537.933856621581,2006
"CZE",1595874.3746226302,8606.687254423103,2925769.686808155,2006
"DEU",8487943.113344654,42652.88486882001,15561229.041131869,2006
"DMA",6069.385929003081,25.382701624117857,11127.20753650565,2006
"DNK",590039.1377934486,5213.706718985479,1081738.4192879894,2006
"DOM",2035715.3029533848,13413.915399729467,3732144.7220812053,2006
"DZA",599175.511140045,5415.394073528538,1098488.4370900823,2006
"ECU",8263022.5311186155,35602.596772402656,15148874.64038413,2006
"EGY",3228.381402892663,38.12591038674084,5918.699238636549,2006
"ESP",10110050.333614673,72719.07732340886,18535092.27829357,2006
"EST",2121676.3469192768,21731.76607314767,3889739.969352007,2006
"ETH",2184317.0356581025,12075.938863442783,4004581.2320398553,2006
"FIN",14769780.419588042,182294.8218466257,27077930.769244745,2006
"FJI",429740.5739691006,1874.4188059061382,787857.718943351,2006
"FRA",9766922.273154737,55049.474361435314,17906024.16745035,2006
"GAB",4284769.562478793,19300.76155673861,7855410.864544454,2006
"GBR",3298512.116256381,21053.477904722673,6047272.213136699,2006
"GEO",85876.27007575272,531.3530525681834,157439.8284722133,2006
"GGY",14.06638189298965,0.15125231431856778,25.788366803814355,2006
"GHA",4391436.619632751,27136.106026040045,8050967.1359933745,2006
"GIN",2179711.9764026725,15305.724126266176,3996138.6234048987,2006
"GLP",10224.290218999537,62.26845623010634,18744.53206816582,2006
"GMB",591.4447871371935,6.2944153733312955,1084.315443084855,2006
"GNB",257625.76067127578,2018.2736304760756,472313.8945640056,2006
"GNQ",316076.88896939903,1255.6155388671114,579474.2964438982,2006
"GRC",745773.2121953524,7345.970169765666,1367250.8890248118,2006
"GRD",7003.876040967092,31.532020393623938,12840.439408439668,2006
"GTM",9117254.08030383,52558.403563793196,16714965.813890353,2006
"GUF",821461.6262064073,2534.970689725097,1506012.9813784135,2006
"GUY",1611197.6264427193,5933.7702380086375,2953862.315144986,2006
"HKG",2581.890185841054,20.818472351692375,4733.465340708599,2006
"HND",7497841.530343883,41630.862087995105,13746042.80563045,2006
"HRV",378236.25218956603,2204.1989065142698,693433.1290142044,2006
"HTI",172555.23387033044,1162.8397855702503,316351.26209560584,2006
"HUN",1233027.493743515,7989.934710272461,2260550.405196444,2006
"IDN",320851978.5453244,1433150.2341909236,588228627.3330947,2006
"IMN",3817.280628568663,26.244475032781544,6998.347819042548,2006
"IND",14344726.059651209,67410.50808351503,26298664.44269388,2006
"IRL",1008829.9356689593,5248.275462487522,1849521.5487264255,2006
"IRN",14634.909433188564,140.7888507648059,26830.667294179035,2006
"IRQ",671.8978562605196,6.240043597951371,1231.8127364776192,2006
"ISR",12652.348901885622,132.22768038065684,23195.972986790304,2006
"ITA",1012280.7505651541,8901.865352197363,1855848.0427027824,2006
"JAM",546077.1391730881,2797.683667678514,1001141.4218173281,2006
